,channel_id,name,ranking,userlocal-url,youtube-url
73,UCoztvTULBYd3WmStqYeoHcA,笹木咲,74,https://virtual-youtuber.userlocal.jp/user/27CD294B8B4194A7_5f91ca,https://www.youtube.com/channel/UCoztvTULBYd3WmStqYeoHcA
74,UCxlo_L4h2ZyG8f5w6PC4OuQ,乾伸一郎(忍者),75,https://virtual-youtuber.userlocal.jp/user/29DB14B070A12855_c0204c,https://www.youtube.com/channel/UCxlo_L4h2ZyG8f5w6PC4OuQ
75,UC2Rr7mILebYLTjd38DNNUTw,ふぇありす,76,https://virtual-youtuber.userlocal.jp/user/B23B0E66706A7483_a49b2a,https://www.youtube.com/channel/UC2Rr7mILebYLTjd38DNNUTw
76,UCWCc8tO-uUl_7SJXIKJACMw,神楽めあ,77,https://virtual-youtuber.userlocal.jp/user/969A98E929C33450_90df19,https://www.youtube.com/channel/UCWCc8tO-uUl_7SJXIKJACMw
77,UCNPu5zXzXvS6pLCCaI5SnSA,黒咲りん,78,https://virtual-youtuber.userlocal.jp/user/D747D14EA0998B08_0a8168,https://www.youtube.com/channel/UCNPu5zXzXvS6pLCCaI5SnSA
78,UCkPVMV6rbgfB7FO0IKpsNAg,吟醸姉妹/Ginjo Shimai,79,https://virtual-youtuber.userlocal.jp/user/EEC97D3C57BA91DF_b1760f,https://www.youtube.com/channel/UCkPVMV6rbgfB7FO0IKpsNAg
79,UCNt2ZN3usTdTdRV9HJvYAsQ,源元気,80,https://virtual-youtuber.userlocal.jp/user/4CDC64F45F1F8076_b06eb1,https://www.youtube.com/channel/UCNt2ZN3usTdTdRV9HJvYAsQ
80,UCBi8YaVyZpiKWN3_Z0dCTfQ,赤羽葉子,81,https://virtual-youtuber.userlocal.jp/user/33341035CCD6A910_d1a894,https://www.youtube.com/channel/UCBi8YaVyZpiKWN3_Z0dCTfQ
81,UC48jH1ul-6HOrcSSfoR02fQ,夕陽リリ,82,https://virtual-youtuber.userlocal.jp/user/F88FA2AA92DFFCF5_0725b9,https://www.youtube.com/channel/UC48jH1ul-6HOrcSSfoR02fQ
82,UC3czs41x7HD5-nk_cZ-Eo3g,地球ちゃん(海外),83,https://virtual-youtuber.userlocal.jp/user/DA55A8C9AB46FA89_85b2cc,https://www.youtube.com/channel/UC3czs41x7HD5-nk_cZ-Eo3g
83,UCMzxQ58QL4NNbWghGymtHvw,カルロ・ピノ,84,https://virtual-youtuber.userlocal.jp/user/DEC0B22F3DCB3A0D_4178d2,https://www.youtube.com/channel/UCMzxQ58QL4NNbWghGymtHvw
84,UCeLzT-7b2PBcunJplmWtoDg,周防パトラ,85,https://virtual-youtuber.userlocal.jp/user/B9AAA4CDADC9FFB9_e9b281,https://www.youtube.com/channel/UCeLzT-7b2PBcunJplmWtoDg
85,UChUJbHiTVeGrSkTdBzVfNCQ,ジョー・力一,86,https://virtual-youtuber.userlocal.jp/user/66743DB501664DC7_e6fb2b,https://www.youtube.com/channel/UChUJbHiTVeGrSkTdBzVfNCQ
86,UCBiqkFJljoxAj10SoP2w2Cg,文野環,87,https://virtual-youtuber.userlocal.jp/user/DB8440B179FA2FC6_c35bce,https://www.youtube.com/channel/UCBiqkFJljoxAj10SoP2w2Cg
87,UCPf-EnX70UM7jqjKwhDmS8g,マグロナ,88,https://virtual-youtuber.userlocal.jp/user/CC526E264951B3E7_577fbf,https://www.youtube.com/channel/UCPf-EnX70UM7jqjKwhDmS8g
88,UCPvGypSgfDkVe7JG2KygK7A,竜胆尊(りんどうみこと),89,https://virtual-youtuber.userlocal.jp/user/D8261240C6B7245E_3a71f2,https://www.youtube.com/channel/UCPvGypSgfDkVe7JG2KygK7A
89,UCXU7YYxy_iQd3ulXyO-zC2w,伏見ガク,90,https://virtual-youtuber.userlocal.jp/user/7C2301829A56D838_66ae2b,https://www.youtube.com/channel/UCXU7YYxy_iQd3ulXyO-zC2w
90,UCksFV3h5Jm5BWNCN4BBej2A,かめっち,91,https://virtual-youtuber.userlocal.jp/user/F7190B2B63A7A9EE_96a5dc,https://www.youtube.com/channel/UCksFV3h5Jm5BWNCN4BBej2A
91,UCMaXopOC-gQ_NFTkq7esf4w,万楽えね(まぐら えね),92,https://virtual-youtuber.userlocal.jp/user/F29C549A8BB3AEDE_fd6557,https://www.youtube.com/channel/UCMaXopOC-gQ_NFTkq7esf4w
92,UC53UDnhAAYwvNO7j_2Ju1cQ,ドーラ,93,https://virtual-youtuber.userlocal.jp/user/9B941219548225FE_b68092,https://www.youtube.com/channel/UC53UDnhAAYwvNO7j_2Ju1cQ
